Subject	TrialLearn	TrialTest	Condition	Correct	SRPE	RTlearn	RTrecog	RTcertain	Hit	Certainty	LearnChosenInOptions	TestChosenInOptions	TestChosenAltOption	TestChosenNoOption	Rechosen
3	25	29	4	0	-0.25	4559	5903	606	1	3	1	1	0	0	0
3	56	55	1	1	0	1607	7149	820	1	2	1	1	0	0	1
3	32	39	2	1	0.5	14288	10106	1477	0	2	1	1	1	0	0
3	58	57	4	1	0.75	5623	4540	1961	1	3	1	1	0	0	1
3	15	15	1	1	0	1216	2050	361	1	4	1	1	0	0	1
3	28	21	1	1	0	1059	10940	1023	1	2	1	1	0	0	1
3	17	12	1	1	0	1252	4430	1175	1	2	1	1	0	0	1
3	9	5	1	1	0	1051	6432	877	1	2	1	1	0	0	1
3	18	14	2	1	0.5	4611	4071	411	0	2	1	0	0	1	0
3	13	11	4	0	-0.25	1707	1822	411	1	4	1	1	0	0	0
3	6	2	2	1	0.5	2210	8372	1611	1	2	1	1	0	0	1
3	1	1	2	1	0.5	6232	2990	1916	1	4	1	1	0	0	1
3	30	22	4	1	0.75	6125	4162	1127	1	3	1	1	0	0	1
3	52	60	4	0	-0.25	7829	5081	626	0	2	1	1	1	0	1
3	46	49	4	0	-0.25	5070	6519	164	0	1	1	1	1	0	1
3	54	54	2	0	-0.5	6427	4677	146	1	4	1	1	0	0	0
3	3	9	4	0	-0.25	3470	8847	1220	1	3	1	1	0	0	0
3	49	48	2	0	-0.5	5242	13195	181	0	2	1	1	1	0	1
3	7	7	1	1	0	916	5495	1094	1	2	1	1	0	0	1
3	60	53	2	0	-0.5	6451	9184	430	0	2	1	0	0	1	0
3	20	16	4	0	-0.25	9922	4688	694	0	2	1	1	1	0	0
3	59	52	2	1	0.5	2997	6877	912	1	2	1	1	0	0	1
3	44	45	4	0	-0.25	9995	3234	653	1	3	1	1	0	0	0
3	29	26	1	1	0	1856	9406	1531	1	1	1	1	0	0	1
3	51	59	1	1	0	1516	6033	872	1	2	1	1	0	0	1
3	23	24	1	1	0	1186	9107	1762	0	2	1	0	0	1	0
3	38	37	4	1	0.75	4738	3190	430	1	4	1	1	0	0	1
3	39	40	1	1	0	2131	3238	303	1	4	1	1	0	0	1
3	21	25	2	1	0.5	5622	2657	1429	1	4	1	1	0	0	1
4	58	51	1	1	0	1681	4565	345	1	4	1	1	0	0	1
4	56	54	2	0	-0.5	5629	5102	1531	1	3	1	1	0	0	0
4	27	29	2	1	0.5	2537	5476	228	0	1	1	0	0	1	0
4	47	44	4	0	-0.25	1164	4554	229	1	4	1	1	0	0	0
4	55	60	2	0	-0.5	2938	10523	949	0	1	1	0	0	1	0
4	44	41	1	1	0	2209	6251	648	1	2	1	1	0	0	1
4	35	39	2	0	-0.5	980	4733	126	1	4	1	1	0	0	0
4	20	20	4	0	-0.25	1041	9207	741	0	1	1	1	1	0	0
4	15	13	4	0	-0.25	908	7519	2502	1	2	1	1	0	0	0
4	13	15	2	0	-0.5	2792	10797	1294	0	2	1	1	1	0	1
4	3	2	2	1	0.5	3793	3406	1010	1	4	1	1	0	0	1
4	10	5	4	1	0.75	2905	6529	1101	1	4	1	1	0	0	1
4	19	16	2	0	-0.5	2991	4087	924	0	4	1	0	0	1	0
4	26	28	1	1	0	1190	3556	225	1	4	1	1	0	0	1
4	50	46	1	1	0	1575	5211	467	0	2	1	0	0	1	0
4	37	35	4	0	-0.25	1175	4290	181	1	4	1	1	0	0	0
4	45	47	1	1	0	1398	4276	114	0	1	1	0	0	1	0
4	39	34	1	1	0	1399	5451	913	0	1	1	0	0	1	0
4	57	57	4	0	-0.25	1275	2488	169	1	4	1	1	0	0	0
4	48	50	1	1	0	1328	5479	148	0	1	1	0	0	1	0
4	9	10	1	1	0	2166	7325	1045	1	1	1	1	0	0	1
4	17	17	4	0	-0.25	2951	3100	686	1	4	1	1	0	0	0
4	43	43	4	0	-0.25	3102	1642	402	1	4	1	1	0	0	0
4	6	4	4	0	-0.25	3198	3806	758	1	4	1	1	0	0	0
4	23	27	2	0	-0.5	1777	2043	293	1	4	1	1	0	0	0
4	18	18	4	0	-0.25	1206	3541	5311	0	1	1	1	1	0	1
4	14	19	2	1	0.5	3465	8278	1700	1	2	1	1	0	0	1
4	36	36	4	1	0.75	3168	1869	553	1	4	1	1	0	0	1
4	59	53	1	1	0	1612	5701	556	0	1	1	0	0	1	0
4	52	55	1	1	0	1261	3389	122	1	4	1	1	0	0	1
4	40	37	4	0	-0.25	2839	4922	756	0	3	1	1	1	0	0
4	4	3	2	0	-0.5	1115	4598	1120	1	4	1	1	0	0	0
4	7	6	4	1	0.75	3407	4613	542	1	4	1	1	0	0	1
4	51	56	4	1	0.75	1271	2662	219	1	4	1	1	0	0	1
4	8	9	2	1	0.5	5188	4274	749	1	4	1	1	0	0	1
4	30	21	2	1	0.5	4892	5743	466	1	1	1	1	0	0	1
4	41	48	4	0	-0.25	2185	5483	240	1	1	1	1	0	0	0
4	34	40	1	1	0	1070	2916	119	1	4	1	1	0	0	1
4	38	31	1	1	0	1170	7853	1396	1	1	1	1	0	0	1
4	31	38	4	0	-0.25	1464	3928	730	1	4	1	1	0	0	0
4	5	8	1	1	0	1377	15269	3074	0	2	1	0	0	1	0
4	42	49	2	0	-0.5	1635	8868	867	0	3	1	1	1	0	1
4	54	59	1	1	0	1472	3599	319	0	2	1	0	0	1	0
4	32	32	4	0	-0.25	2340	1372	501	1	4	1	1	0	0	0
4	12	12	1	1	0	1250	5311	733	0	1	1	0	0	1	0
4	25	26	4	1	0.75	1250	6629	722	0	2	1	1	1	0	0
4	21	23	2	1	0.5	4418	8124	658	1	3	1	1	0	0	1
4	2	7	4	0	-0.25	3360	2544	401	1	4	1	1	0	0	0
4	49	45	1	1	0	1539	6273	475	1	4	1	1	0	0	1
4	33	33	1	1	0	6102	5324	762	1	3	1	1	0	0	1
4	53	52	1	1	0	1007	5435	556	0	1	1	0	0	1	0
4	24	24	1	1	0	1905	5138	503	0	3	1	0	0	1	0
4	60	58	2	1	0.5	1307	2920	745	1	4	1	1	0	0	1
4	1	1	2	0	-0.5	3100	4618	1955	1	4	1	1	0	0	0
4	22	25	2	1	0.5	1834	2421	240	1	4	1	1	0	0	1
4	11	14	4	0	-0.25	1358	6220	578	1	4	1	1	0	0	0
4	29	22	1	1	0	1445	3596	979	1	4	1	1	0	0	1
4	16	11	2	1	0.5	2161	3122	280	1	4	1	1	0	0	1
4	28	30	2	1	0.5	2015	4900	518	1	3	1	1	0	0	1
4	46	42	2	0	-0.5	2822	6975	815	0	2	1	1	1	0	1
5	7	58	2	0	-0.5	5629	11	18	1	1	1	1	0	0	0
5	28	14	1	1	0	36970	10	3	1	3	1	1	0	0	1
5	26	19	4	0	-0.25	5733	27	29	1	4	1	1	0	0	0
5	33	31	4	0	-0.25	5449	46	3	0	4	1	1	1	0	0
5	57	48	1	1	0	7035	26	25	1	4	1	1	0	0	1
5	17	10	2	0	-0.5	4281	31	23	1	4	1	1	0	0	0
5	27	20	1	1	0	6106	28	39	1	4	1	1	0	0	1
5	55	55	2	1	0.5	4910	7	31	1	4	1	1	0	0	1
5	31	25	4	0	-0.25	2631	9	56	1	1	1	1	0	0	0
5	48	46	2	1	0.5	2386	8	26	1	4	1	1	0	0	1
5	13	11	4	0	-0.25	8948	5	14	0	1	1	1	1	0	1
5	36	30	4	0	-0.25	7075	57	19	1	3	1	1	0	0	0
5	23	18	4	1	0.75	4622	4	5	0	1	1	1	1	0	0
5	6	23	1	1	0	11267	13	17	1	2	1	1	0	0	1
5	60	47	4	0	-0.25	5657	36	28	1	4	1	1	0	0	0
5	29	17	1	1	0	17911	18	40	1	4	1	1	0	0	1
5	16	6	1	1	0	6645	40	43	1	4	1	1	0	0	1
5	5	56	2	1	0.5	4317	45	16	1	3	1	1	0	0	1
5	9	1	4	1	0.75	4436	14	20	0	2	1	1	1	0	0
5	20	5	2	0	-0.5	12878	16	2	0	2	1	1	1	0	1
